level,cb_code,cb_title,omop_concept_id,omop_name,omop_vocab,match
regimen,tamoxifen_maintenance,Tamoxifen Maintenance,1436678,tamoxifen,RxNorm,auto
regimen,tazemetostat,Tazemetostat (Tazverik),37498602,tazemetostat,RxNorm,auto
regimen,teclistamab,Teclistamab (Tecvayli) Monotherapy,37557075,Teclistamab monotherapy,HemOnc,auto
regimen,tisagenlecleucel,Tisagenlecleucel Monotherapy,35804066,Tisagenlecleucel monotherapy,HemOnc,auto
regimen,topical_corticosteroids,Topical corticosteroids,21602098,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",ATC,curated
regimen,topiramate,Topiramate (Topamax) - anticonvulsant,742267,topiramate,RxNorm,auto
regimen,trastuzumab,Trastuzumab,1387104,trastuzumab,RxNorm,auto
regimen,trastuzumab_deruxtecan,Trastuzumab Deruxtecan,42542260,Trastuzumab deruxtecan,HemOnc,auto
regimen,trastuzumab_emtansine,Trastuzumab Emtansine,35802866,Trastuzumab emtansine,HemOnc,auto
regimen,tucatinib_trastuzumab_capecitabine,Tucatinib + Trastuzumab + Capecitabine,911925,Capecitabine and Trastuzumab (XH) and Tucatinib,HemOnc,curated
regimen,venetoclax,Venetoclax Monotherapy,35804617,Venetoclax monotherapy,HemOnc,auto
regimen,vinorelbine,Vinorelbine,1343346,vinorelbine,RxNorm,auto
regimen,voriconazole,Voriconazole (Vfend) - antifungal,1714277,voriconazole,RxNorm,auto
regimen,vrd,VRd,35806260,RVD,HemOnc,curated
regimen,vrd_lite,VRd Lite,35806260,RVD,HemOnc,curated
regimen,warfarin_anticoagulant,warfarin - anticoagulant,1310149,warfarin,RxNorm,auto
regimen,ww,Watchful Waiting (Active Surveillance),37561232,Watchful waiting,HemOnc,auto
regimen,zoledronic_acid,Zoledronic Acid,1524674,zoledronic acid,RxNorm,auto
